Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.967681,5572321029.378585,1.49775,45.182626,50.3205
0.227935,6184891399.341321,5.92412,93.583668,98.137356
0.518974,6876884395.522287,2.70726,29.800618,30.009978
0.293655,1382305522.695805,1.48098,7.547305,106.352988
0.953295,5041362844.654123,10.2107,43.001125,49.171644
0.927699,2091887970.1646364,12.5813,32.250338,47.191903
0.813282,5213622516.8350725,3.01779,36.827281,40.227416
0.147339,5252786686.938909,14.2462,80.276963,89.058166
0.953338,3354519319.348425,7.44205,37.832849,49.161202
0.492725,4300627564.717438,9.1046,25.829556,29.366468
0.293662,1234221177.0202389,7.75653,28.888504,110.651422
0.93655,6930392531.653645,5.22161,47.587972,47.82395
0.571348,4693966281.732594,0.829673,28.435937,31.793472
0.265124,3059031634.558385,1.17102,59.00319,100.299816
0.514247,3621159240.338774,2.76081,24.829714,29.837481
0.4904,1488934314.1707444,0.836238,16.878341,28.66632
