Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.686349,1668922729.5087576,2.66038,30.300917,68.302188
0.138102,3224116808.763153,8.57026,40.485886,68.777304
0.855211,2240536125.1491914,1.00369,29.566187,55.601331
0.784219,4311801206.017452,2.31469,46.645234,60.394249
0.652928,3923005374.902735,6.86271,53.373419,72.152191
0.906898,1438820108.688057,3.2948,22.732585,53.699844
0.528846,6216307082.460138,3.02134,71.396508,76.170435
0.556846,3608541420.046334,8.29591,54.398014,77.506744
0.987502,5484206299.992984,5.71068,41.64214,48.657783
0.943239,2466443176.5489006,13.5048,30.049211,52.098157
0.770877,2777621204.552643,12.6193,38.977814,62.432861
0.67493,3880935000.03749,1.44901,49.770301,68.762122
0.870408,4166587741.8604617,9.27148,42.744216,55.797272
0.290354,2816993502.718835,6.01455,39.128094,71.184057
0.176878,4021209828.4859066,0.833745,38.928949,62.514713
0.495227,5842998765.58233,3.47114,68.335317,75.793503
0.558594,5858525546.342006,11.2206,70.855313,77.867048
0.564537,4400470248.53519,5.5121,59.833437,76.88816
0.781107,2295517251.533373,5.60242,34.051683,61.155693
0.448831,3586198572.883839,11.573,52.6487,75.768714
0.120857,3123650252.120823,1.42573,26.826549,63.064338
0.859805,6975120936.037037,1.09932,55.310152,55.393102
0.132791,6458251336.555707,8.02781,65.284444,68.576693
0.415839,3949244199.2113366,3.69154,51.231998,72.141547
0.76298,3115042134.148617,2.15219,40.037566,61.928302
0.897391,1606138016.351001,1.31013,23.639304,53.655813
0.699017,5681069937.140343,3.28877,60.410591,67.448639
0.636819,1787985210.6473546,1.48329,31.854981,72.065593
0.136392,1990741268.6300867,4.55233,19.623035,66.901478
0.843903,3904869707.754288,1.87621,41.411872,56.549955
0.347801,2890698334.6332016,6.49029,41.485995,71.880184
0.620521,6881457200.640267,11.9962,74.82931,75.453146
0.361905,1057233504.5091875,0.900185,2.91483,67.893269
0.616501,6330920800.239226,3.63111,70.606992,74.476645
