Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.76768,61513.9,0.631528,11421.4,730017121.1160431,129743532.02282816,6970406063.734135,1.35471,25.324737,25.323515,14.0596,25.324737,25.323515,0.249169,0.247362,0.247373,38.2787,37.985272,37.987104
0.769956,102831.0,0.651072,289470.0,1100358275.2060876,1136078630.3107166,3566931577.1238656,0.815049,37.580783,37.568432,8.60233,37.580783,37.568432,0.098438,0.09771,0.098184,37.5632,37.568432,37.580783
0.801693,2235060.0,0.688621,1196130.0,-3.170577045022194e-08,-3.170577045022194e-08,5521571341.481989,0.888062,52.36309,60.127997,11.6307,63.436329,72.269368,0.094209,0.094209,0.09421,92.3444,92.345187,92.345031
0.326439,94142500.0,0.215393,10543200.0,3202977171.845276,2666435637.285986,1887378391.2681696,1.56239,21.870246,39.32844,14.0468,30.281129,39.32844,0.18522,0.18522,0.18522,39.334,39.32844,39.334033
0.732504,6443110.0,0.648383,34000.1,-3.170577045022194e-08,4307526949.904882,2484871388.554231,2.02306,36.441184,64.735585,1.62059,48.013127,97.968499,0.124245,0.124238,0.124252,97.9628,97.968499,97.967045
0.817743,149904.0,0.809856,88320000.0,3400786303.1071653,6143512999.365885,5914195576.806066,1.66844,55.106684,55.105718,1.42357,53.407621,55.105718,0.236117,0.236128,0.23613,82.6561,82.658578,82.660026
0.39438,2440180.0,0.23684,7696930.0,2822177869.3722258,3017022511.0970197,4850267351.077827,2.12721,39.051928,39.0481,5.01356,39.051928,39.0481,0.193807,0.193804,0.193806,39.0551,39.0481,39.051928
0.882159,1214630.0,0.583831,35326.7,3355355104.6290426,764262206.7216233,3666064848.46995,4.0032,45.332531,45.321805,9.42619,45.332531,45.321805,0.138385,0.137815,0.13816,45.3214,45.321805,45.332531
0.365409,10869000.0,0.20081,504904.0,6152853519.34052,6117070386.810399,6409083095.638999,1.34147,63.993732,63.993394,3.33101,63.993732,63.993394,0.015171,0.015172,0.015172,63.9937,63.993394,63.993732
0.79927,281720.0,0.156673,105733.0,-3.170577045022194e-08,6186483830.057071,2950909314.2439556,3.29508,38.523341,63.683,1.14376,27.363392,64.978977,0.156273,0.156269,0.15628,64.9752,64.978977,64.977611
0.846294,7484480.0,0.504518,419236.0,5872980342.422321,2937229866.835764,1631668327.4606104,1.19188,24.801409,53.436504,3.29453,31.571242,53.436504,0.020122,0.02012,0.020122,53.4368,53.436504,53.437691
0.539817,852257.0,0.127335,37847900.0,-3.170577045022194e-08,-3.170577045022194e-08,1248793521.8348322,1.02473,20.350823,75.009879,5.70501,5.568112,67.617184,0.065906,0.065906,0.065906,95.7233,95.723427,95.723328
0.438683,402743.0,0.214965,82694.4,-3.170577045022194e-08,-3.170577045022194e-08,5776480490.027776,7.90177,67.594552,75.341862,14.6919,66.202272,75.122907,0.07515,0.075151,0.075151,99.4992,99.49965,99.499596
0.242907,2663080.0,0.14156,9008370.0,1038329105.8972733,1572155358.275206,3966885402.241504,1.21301,4.711353,4.645241,1.10143,4.711353,4.645241,0.070535,0.067389,0.070135,4.67654,4.645241,4.711353
0.702624,25899100.0,0.233085,2991380.0,639822130.6277742,1760282815.472416,3106445795.5273414,6.63944,17.245589,17.170581,2.26429,17.245589,17.170581,0.212453,0.212344,0.21243,17.289,17.170581,17.245588
0.924607,1579080.0,0.26745,21657900.0,2292872.54280279,1163444514.9017122,3178060435.6767955,6.66473,4.247309,3.495494,1.771,4.247309,3.495494,0.289545,0.002404,0.26987,7.84763,3.495486,6.370956
0.356513,15344.2,0.324474,6106520.0,325813570.0697527,1617526632.8471782,1721919997.5976028,5.78761,22.686996,22.657388,3.55416,22.686996,22.657388,0.022698,0.021896,0.022648,22.6028,22.657388,22.686996
0.343258,480979.0,0.211623,66164600.0,4714372225.745086,4548230818.008878,1360913057.6355343,0.8763,5.912005,53.294878,6.99478,16.723559,53.294878,0.081591,0.081591,0.081592,53.2961,53.294878,53.296348
0.893126,11592900.0,0.677144,4511190.0,-3.170577045022194e-08,-3.170577045022194e-08,3492457073.5094543,0.970954,36.779523,54.013068,4.37931,48.301913,70.330441,0.026324,0.026324,0.026324,92.8127,92.8129,92.812794
0.809541,70046900.0,0.390522,21786.0,-3.170577045022194e-08,3028738744.4514904,2641286565.663711,1.51458,34.29594,58.60938,0.999956,48.182301,68.082664,0.061419,0.061412,0.061425,68.0777,68.082664,68.082851
0.23539,18224.5,0.142218,511744.0,5853272035.510463,6912175015.852885,1901317218.6680946,0.821442,9.089527,62.700619,0.969994,4.326682,62.700619,0.267299,0.267304,0.267302,94.0492,94.050929,94.050372
0.106563,12092.6,0.101152,479802.0,4145954343.6905518,4232358909.3214965,6021088415.800445,1.23785,42.220304,42.21982,2.14515,42.220304,42.21982,0.255875,0.255887,0.255887,63.3282,63.329729,63.330455
0.732417,425042.0,0.171393,11718.2,2668893785.6689916,1823810399.4927077,2197486780.5151987,14.0235,38.365016,43.556993,4.32179,43.568719,43.556993,0.083498,0.08346,0.08352,43.5568,43.556993,43.568719
0.122546,75678800.0,0.115813,929596.0,-3.170577045022194e-08,-3.170577045022194e-08,6046654258.125869,3.93334,60.189729,66.467224,1.41983,56.33019,63.198156,0.015247,0.015247,0.015247,70.5088,70.508826,70.508824
0.550681,24100.7,0.549294,232336.0,138942.26379201014,1422258.7190868738,5098634852.030104,10.8495,4.969257,4.821085,1.90117,4.969257,4.821085,0.239978,0.0,0.0,5.67796,4.821084,4.969255
0.763065,41768.2,0.463884,20798.7,5784438807.863031,4618655675.332911,6076186028.942999,6.23802,99.076327,99.0759,3.20823,99.076327,99.0759,0.116357,0.116353,0.116359,99.0638,99.0759,99.076327
0.949479,1695510.0,0.115412,24878.2,-3.170577045022194e-08,5631886493.341788,2966139688.840189,0.843527,31.267994,51.192881,1.43878,23.896119,70.654646,0.061658,0.061659,0.061659,70.6533,70.654646,70.654026
0.972993,20652.3,0.420634,2465710.0,761139505.389981,2907519023.4622703,1633075857.7380414,1.16722,45.378128,45.372009,5.75213,29.342097,45.372009,0.010517,0.010153,0.010498,45.3166,45.372009,45.378128
0.784985,33157.2,0.753441,16447300.0,61942.58084971465,344240646.7977172,4290531094.032479,8.22217,9.135053,9.000795,4.37394,9.135053,9.000795,0.093868,6.167857e-07,0.000105,9.40943,9.000795,9.135053
0.153548,5848450.0,0.107696,92453000.0,-3.170577045022194e-08,-3.170577045022194e-08,3132723147.992339,1.1639,29.257546,63.192151,2.86844,30.338985,65.640737,0.159652,0.159652,0.159652,70.4262,70.426207,70.426205
0.728164,15258600.0,0.397411,668386.0,524027901.0779962,451083069.11857957,3247759456.172495,8.11458,15.56755,15.499665,12.6644,15.56755,15.499665,0.072487,0.071908,0.072262,15.6066,15.49966,15.56755
0.64254,18253.7,0.508433,60963900.0,3417882054.533925,-3.170577045022194e-08,4557133171.86742,4.33195,95.718894,95.71837,13.0127,62.161269,78.043134,0.050227,0.050219,0.050227,95.7102,95.71837,95.718894
0.659289,5794720.0,0.391771,754267.0,2289152187.698161,3009427076.7279644,4897256550.9485445,5.94774,40.062894,40.058241,0.955369,40.062894,40.058241,0.16229,0.162276,0.162284,40.0669,40.058241,40.062894
0.428264,432899.0,0.357589,11619.6,2311658528.852251,1025432783.7666456,1074787198.1159062,12.5751,24.681993,43.83676,10.3578,43.844354,43.83676,0.046196,0.046081,0.046224,43.8239,43.83676,43.844354
0.813461,175912.0,0.333527,197275.0,3828823715.916297,4120951173.113507,3362215233.2654786,0.888079,48.43287,54.538974,1.59868,44.990225,54.538974,0.177056,0.176977,0.177065,54.5337,54.538974,54.543798
0.584539,19668600.0,0.531741,43766700.0,5388240329.740013,5341816740.646798,5472593545.915649,4.04157,67.009577,67.008537,4.62711,67.009577,67.008537,0.020577,0.020577,0.020577,67.0096,67.008537,67.009577
0.745583,1614950.0,0.648448,7989110.0,4388646163.601775,3499489537.0957513,5390042302.7771015,2.46928,51.872392,51.870865,10.7588,51.872392,51.870865,0.266889,0.266891,0.266891,77.8098,77.806297,77.808587
0.842006,1433560.0,0.563101,293441.0,-3.170577045022194e-08,6997406467.977172,2424473688.4374375,6.00567,33.124567,59.978778,8.53546,45.203609,87.095184,0.180268,0.180269,0.18027,87.0933,87.095184,87.094189
0.330214,301281.0,0.178642,32617800.0,5652121116.043119,6677003804.692454,4473317448.288401,1.27342,51.088516,61.617665,1.27434,44.941081,61.617665,0.080792,0.080792,0.080792,61.6178,61.617665,61.61826
0.80852,4256100.0,0.360615,1231860.0,627865567.5332911,586585922.6379201,2891520809.281662,3.24565,15.454029,15.380781,12.82,15.454029,15.380781,0.103958,0.102913,0.103636,15.4834,15.380781,15.454029
0.21078,219590.0,0.182028,13390.7,2154335764.109068,2263026632.847178,2552335549.7973747,8.92534,32.204097,32.196911,2.75613,32.204097,32.196911,0.229673,0.229716,0.229729,48.2943,48.295366,48.306145
